company,security,CNPJ
CONC RIO-TERESOPOLIS S.A., CRTE5B,00.938.574/0001-05
CONC ROD AYRTON SENNA E CARV PINTO S.A.-ECOPISTAS,#N/D,10.841.050/0001-55
CONC ROD.OESTE SP VIAOESTE S.A,#N/D,02.415.408/0001-50
CONC RODOVIAS DO TIETÊ S.A.,#N/D,10.678.505/0001-63
CONC ROTA DAS BANDEIRAS S.A.,#N/D,10.647.979/0001-48
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN,#N/D,02.451.848/0001-62
CONSERVAS ODERICH S.A.,ODER3,97.191.902/0001-94
CONSERVAS ODERICH S.A., ODER4,97.191.902/0001-94
CONSORCIO ALFA DE ADMINISTRACAO S.A.,BRGE11,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE12,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE3,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE5,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE6,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE7,17.193.806/0001-46
CONSORCIO ALFA DE ADMINISTRACAO S.A., BRGE8,17.193.806/0001-46
CONSTRUTORA ADOLPHO LINDENBERG S.A.,CALI3,61.022.042/0001-18
CONSTRUTORA ADOLPHO LINDENBERG S.A., CALI4,61.022.042/0001-18
CONSTRUTORA TENDA S.A.,TEND3,71.476.527/0001-35
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,CORR3,15.101.405/0001-93
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA, CORR4,15.101.405/0001-93
COSAN LOGISTICA S.A.,RLOG3,17.346.997/0001-39
COSAN S.A.,CSAN3,50.746.577/0001-15
CPFL ENERGIA S.A.,CPFE3,02.429.144/0001-93
CPFL ENERGIAS RENOVÁVEIS S.A.,CPRE3,08.439.659/0001-50
CPFL GERACAO DE ENERGIA S.A.,nan,03.953.509/0001-47
CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,CRDE3,07.820.907/0001-46
CRUZEIRO DO SUL EDUCACIONAL S.A.,CSED3,62.984.091/0001-02
CSU CARDSYSTEM S.A.,CARD3,01.896.779/0001-38
CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,#N/D,06.981.381/0001-13
CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,TRPL3,02.998.611/0001-04
CTEEP – CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA, TRPL4,02.998.611/0001-04
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,CVCB3,10.760.260/0001-19
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRE3,73.178.600/0001-18
CYRELA COMMERCIAL PROPERT S.A. EMPR PART,CCPR3,08.801.621/0001-86
DIAGNOSTICOS DA AMERICA S.A.,DASA3,61.486.650/0001-83
DIBENS LEASING S.A. – ARREND.MERCANTIL,#N/D,65.654.303/0001-73
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,PNVL4,92.665.611/0001-77
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS, PNVL3,92.665.611/0001-77
DIRECIONAL ENGENHARIA S.A.,DIRR3,16.614.075/0001-00
DOHLER S.A.,DOHL3,84.683.408/0001-03
DOHLER S.A., DOHL4,84.683.408/0001-03
DOMMO ENERGIA S.A.,DMMO11,08.926.302/0001-05
DOMMO ENERGIA S.A., DMMO3,08.926.302/0001-05
DTCOM – DIRECT TO COMPANY S.A.,DTCY3,03.303.999/0001-36
DTCOM – DIRECT TO COMPANY S.A., DTCY4,03.303.999/0001-36
DURATEX S.A.,DTEX3,97.837.181/0001-47
ECO SECURITIZADORA DIREITOS CRED AGRONEGÓCIO S.A.,#N/D,10.753.164/0001-43
ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,ECOR3,08.873.873/0001-10
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,ECOR3,04.149.454/0001-80
EDP – ENERGIAS DO BRASIL S.A.,ENBR3,03.983.431/0001-03
EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,#N/D,28.152.650/0001-71
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.,#N/D,02.302.100/0001-06
ELECTRO ACO ALTONA S.A.,EALT3,82.643.537/0001-34
ELECTRO ACO ALTONA S.A., EALT4,82.643.537/0001-34
ELEKTRO REDES S.A.,EKTR3,02.328.280/0001-97
ELEKTRO REDES S.A., EKTR4,02.328.280/0001-97
ELETROBRÁS PARTICIPAÇÕES S.A. – ELETROPAR,LIPR3,01.104.937/0001-70
ELETROMIDIA S.A.,ELMD3,09.347.516/0001-81
ELETROPAULO METROP. ELET. SAO PAULO S.A.,ELPL3,61.695.227/0001-93
ELETROPAULO METROP. ELET. SAO PAULO S.A., ELPL4,61.695.227/0001-93
